course_code,course_code_prefix,offering_code,course_name,course_details,credits,prerequisites,corequisites,exclusions,breadth_requirements,course_experience,note,course_link
CITC02,CIT,C02,Placements in Community Development,"With a focus on building knowledge and skills in community development, civic engagement, and community action, students will ‘learn by doing’ through weekly community-based placements with community organizations in East Scarborough and participatory discussion and written reflections during class time. The course will explore topics such as community-engaged learning, social justice, equity and inclusion in communities, praxis epistemology, community development theory and practice, and community-based planning and organizing. Students will be expected to dedicate 3-4 hours per week to their placement time in addition to the weekly class time. Community-based placements will be organized and allocated by the course instructor.",0.5,At least 1.5 credits at the B-level in CIT coursesRecommended Preparation: CITC01H3and CITC08H3Course Experience: Partnership-Based Experience,,,,Partnership-Based Experience,"Priority enrolment is given students registered in the City Studies programs, students from other programs may request admission through the Program Advisor at cit-advisor@utsc.utoronto.ca",https://ttb.utoronto.ca/cp/CITC02H3
CITC03,CIT,C03,Housing Policy and Planning,"This course examines how planning and housing policies help shape the housing affordability landscape in North American cities. The course will introduce students to housing concepts, housing issues, and the role planning has played in (re)producing racialized geographies and housing inequality (e.g., historical and contemporary forms of racial and exclusionary zoning). We will also explore planning’s potential to address housing affordability issues.",0.5,"8.0 credits including at least 1.5 credits at the B-level from Anthropology, City Studies, Health Studies, Human Geography, Political Science, or Sociology",,,Social and Behavioural Sciences,,"Priority will be given to students enrolled in Specialist, Major and Minor Programs in City Studies and Human Geography; and Minor in Urban Public Policy and Governance. Additional students will be admitted as space permits.",https://ttb.utoronto.ca/cp/CITC03H3
CITC04,CIT,C04,Current Municipal and Planning Policy and Practice in Toronto,"Constitutional authority, municipal corporations, official plans, zoning bylaws, land subdivision and consents, development control, deed restrictions and common interest developments, Ontario Municipal Board.",0.5,"8.0 credits including at least 1.5 credits at the B-level from City Studies, Human Geography, Political Science, or Sociology.",,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/CITC04H3
CITC07,CIT,C07,Urban Social Policy,"In recent years social policy has been rediscovered as a key component of urban governance. This course examines the last half-century of evolving approaches to social policy and urban inequality, with particular emphasis on the Canadian urban experience. Major issues examined are poverty, social exclusion, labour market changes, housing, immigration and settlement.",0.5,"8.0 credits including at least 1.5 credits at the B-level from City Studies, Human Geography, Political Science, or Sociology",,CITC10H3if taken in the 2011 Winter session,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/CITC07H3
CITC08,CIT,C08,Cities and Community Development,An examination of community development as the practice of citizens and community organizations to empower individuals and groups to improve the social and economic wellbeing of their communities and neighbourhoods. The course will consider different approaches to community development and critically discuss their potential for positive urban social change.,0.5,"8.0 credits including at least 1.5 credits at the B-level from City Studies, Human Geography, Political Science, or Sociology.",,,Social and Behavioural Sciences,Partnership-Based Experience,Priority enrolment is given students registered in the City Studies programs. Students from other programs may request admission through the Program Advisor at cit-advisor@utsc.utoronto.ca,https://ttb.utoronto.ca/cp/CITC08H3
CITC09,CIT,C09,Introduction to Planning History: Toronto and Its Region,"An introduction to the study of the history of urban planning with particular emphasis on the investigation of the planning ideas, and the plans, that have shaped Toronto and its surrounding region through the twentieth century. The course will consider international developments in planning thought together with their application to Toronto and region.",0.5,"8.0 credits including at least 1.5 credits at the B-level from City Studies, Human Geography, Political Science, or Sociology",,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/CITC09H3
CITC10,CIT,C10,Selected Issues in City Studies,Examination of one or more current issues in cities. The specific issues will vary depending on the instructor.,0.5,"8.0 credits including at least 1.5 credits at the B-level from City Studies, Human Geography, Political Science, or Sociology",,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/CITC10H3
CITC12,CIT,C12,"City Structures, Problems, and Decisions: Field Research in Urban Policy Making","Local governments are constantly making policy decisions that shape the lives of residents and the futures of cities. This course focuses on how these decisions get made, who has power to make them, and their impact on urban citizens. We will address how challenges in cities are understood by city council, staff, and the public, and how certain “policy solutions” win out over others. In the process, we will draw from both classical and contemporary theories of local government as well as the latest research on urban policy making. We will also be learning field research methods to study policy making as it happens on the ground in cites.",0.5,"8.0 credits including: CITB04H3and at least 1.0 other credits at the B-level from City Studies, Human Geography, Economics for Management Studies, Management, Political Science, or Sociology.",,,Social and Behavioural Sciences,Partnership-Based Experience,,https://ttb.utoronto.ca/cp/CITC12H3
CITC14,CIT,C14,Environmental Planning,"This course introduces students to questions of urban ecology and environmental planning, and examines how sustainability and environmental concerns can be integrated into urban planning processes and practices.",0.5,"8.0 credits, including at least 1.5 credits at the B-level from City Studies, Human Geography, Environmental Studies, Political Science, or Sociology",,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/CITC14H3
CITC15,CIT,C15,Money Matters: How Municipal Finance Shapes the City,"This course examines the role of municipal finance in shaping all aspects of urban life. Putting Canada into a comparative perspective, we look at how local governments provide for their citizens within a modern market economy and across different societies and time periods. The course also explores the relationship between municipal finance and various social problems, including movements for racial justice and the ongoing housing crisis.",0.5,"8.0 credits, including at least 1.5 credits at the B-level from City Studies, Human Geography, Economics for Management Studies, Management, Political Science, or Sociology",,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/CITC15H3
CITC16,CIT,C16,Planning and Governing the Metropolis,"Most of the world's population now lives in large urban regions. How such metropolitan areas should be planned and governed has been debated for over a century. Using examples, this course surveys and critically evaluates leading historical and contemporary perspectives on metropolitan planning and governance, and highlights the institutional and political challenges to regional coordination and policy development.",0.5,"8.0 credits, including at least 1.0 credits at the B-level from City Studies, Human Geography, Management, Political Science, or SociologyRecommended Preparation:",,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/CITC16H3
CITC17,CIT,C17,Civic Engagement in Urban Politics,"This course examines the engagement of citizen groups, neighbourhood associations, urban social movements, and other non-state actors in urban politics, planning, and governance. The course will discuss the contested and selective insertion of certain groups into city-regional decision-making processes and structures.",0.5,"8.0 credits, including at least 1.5 credits at the B-level from City Studies, Human Geography, Political Science, or Sociology",,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/CITC17H3
CITC18,CIT,C18,Urban Transportation Policy Analysis,"Demand forecasting; methodology of policy analysis; impacts on land values, urban form and commuting; congestion; transit management; regulation and deregulation; environmental impacts and safety.",0.5,"[STAB22H3or equivalent] and [8.0 credits, including at least 1.5 credits at the B-level from City Studies, Human Geography, Economics for Management Studies, Management, or Political Science]",,GGR324H and (GGRC18H3),Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/CITC18H3
CITC54,CIT,C54,City Studies Field Trip Course,"A central focus of city studies is the attempt to understand the diversity of cities and urbanization processes globally. This course provides an opportunity to engage in field research work on a common research topic in a city outside Toronto. Students will prepare case study questions; engage in data collection including interviews, archives, and observation; networking; and case analysis in a final report.",0.5,CITB05H3,,GGRC54H3Recommended Preparation: CITB07H3,Social and Behavioural Sciences,Partnership-Based Experience,,https://ttb.utoronto.ca/cp/CITC54H3
CITD01,CIT,D01,City Issues and Strategies,"This course is designed as a culminating City Studies course in which participants are able to showcase the application of their research skills, and share their professional and disciplinary interests in a common case study. Lectures and guests will introduce conceptual frameworks, core questions and conflicts. Students will be expected to actively participate in discussions and debates, and produce shared research resources. Each student will prepare a substantial research paper as a final project.",0.5,15.0 credits; including 1.5 credits from [CITB01H3or CITB03H3or CITB04H3or CITB07H3or CITB08H3] and [CITB05H3or STAB23H3(or equivalent)] and 0.5 credits from [GGRA30H3or GGRB30H3or GGRC31H3or GGRC42H3],,,Social and Behavioural Sciences,University-Based Experience,,https://ttb.utoronto.ca/cp/CITD01H3
CITD05,CIT,D05,City Studies Workshop I,"City Studies Workshop I provides training in a range of career-oriented research, consulting, and professional skills. Through a series of 4-week modules, students will develop professional practice oriented skills, such as conducting public consultations, participating in design charrettes, making public presentations, writing policy briefing notes, conducting stakeholder interviews, working with community partner organizations, organizing and running public debates, and participant observation of council meetings and policy processes at Toronto City Hall.",0.5,15.0 credits; including 1.5 credits from [CITB01H3or CITB03H3or CITB04H3or CITB07H3or CITB08H3] and [CITB05H3or STAB23H3(or equivalent)] and 0.5 credits from [GGRA30H3or GGRB30H3or GGRC31H3or GGRC42H3],,(CITC05H3),Social and Behavioural Sciences,University-Based Experience,This course is designed for students in Years 3 and 4 of their programs. Priority will be given to students enrolled in the Specialist and Major/Major Co-op programs in City Studies.,https://ttb.utoronto.ca/cp/CITD05H3
CITD06,CIT,D06,City Studies Workshop II,"City Studies Workshop II provides training in a range of career-oriented research, consulting, and professional skills. Through a series of 4-week modules, students will develop professional practice oriented skills, such as conducting public consultations, participating in design charrettes, making public presentations, writing policy briefing notes, conducting stakeholder interviews, working with community partner organizations, organizing and running public debates, and participant observation of council meetings and policy processes at Toronto City Hall.",0.5,15.0 credits; including 1.5 credits from [CITB01H3or CITB03H3or CITB04H3or CITB07H3or CITB08H3] and [CITB05H3or STAB23H3(or equivalent)] and 0.5 credits from [GGRA30H3or GGRB30H3or GGRC31H3or GGRC42H3],,(CITC06H3),Social and Behavioural Sciences,University-Based Experience,This course is designed for students in Years 3 and 4 of their program of study. Priority will be given to students enrolled in the Specialist and Major/Major Co-op programs in City Studies.,https://ttb.utoronto.ca/cp/CITD06H3
CITD10,CIT,D10,Seminar in Selected Issues in City Studies,"Designed primarily for final-year City Studies Majors, this research seminar is devoted to the analysis and discussion of current debates and affairs in City Studies using a variety of theoretical and methodological approaches. Specific content will vary from year to year. Seminar format with active student participation.",0.5,15.0 credits; including 1.5 credits from [CITB01H3or CITB03H3or CITB04H3or CITB07H3or CITB08H3] and [CITB05H3or STAB23H3(or equivalent)] and 0.5 credits from [GGRA30H3or GGRB30H3or GGRC31H3or GGRC42H3],,,Social and Behavioural Sciences,,Priority will be given to students enrolled in the Major/Major Co-op programs in City Studies. Additional students will be admitted as space permits.,https://ttb.utoronto.ca/cp/CITD10H3
CITD12,CIT,D12,Planning and Building Public Spaces in Toronto,"This course is designed to develop career-related skills such as policy-oriented research analysis, report writing, and presentation and networking skills through experiential learning approaches. The policy focus each year will be on a major current Toronto planning policy issue, from ‘Complete Streets’ to improvements to parks and public space infrastructure, to public transit-related investments. Students work closely in the course with planners and policymakers from the City of Toronto, policy advocates, and community organizers.",0.5,15.0 credits; including 1.5 credits from [CITB01H3or CITB03H3or CITB04H3or CITB07H3or CITB08H3] and [CITB05H3or STAB23H3(or equivalent)] and 0.5 credits from [GGRA30H3or GGRB30H3or GGRC31H3or GGRC42H3],,CITD10H3(if taken in the 2018 Fall Session and 2020 Winter session),Social and Behavioural Sciences,Partnership-Based Experience,,https://ttb.utoronto.ca/cp/CITD12H3
CITD30,CIT,D30,Supervised Research Project,An independent studies course open only to students in the Major and Major Co-op programs in City Studies. An independent studies project will be carried out under the supervision of an individual faculty member.,0.5,"15.0 credits; including 1.5 credits from [CITB01H3or CITB03H3or CITB04H3or CITB07H3or CITB08H3] and [CITB05H3or STAB23H3(or equivalent)] and 0.5 credits from [GGRA30H3or GGRB30H3or GGRC31H3or GGRC42H3], and a cumulative GPA of at least 2.5",,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/CITD30H3
CLAA04,CLA,A04,The Ancient Mediterranean World,"An introduction to the main features of the ancient civilizations of the Mediterranean world from the development of agriculture to the spread of Islam. Long term socio-economic and cultural continuities and ruptures will be underlined, while a certain attention will be dedicated to evidences and disciplinary issues.Same as HISA07H3",0.5,,,,"History, Philosophy and Cultural Studies",,,https://ttb.utoronto.ca/cp/CLAA04H3
CLAA05,CLA,A05,Ancient Mythology I: Mesopotamia and Egypt,A study of Mesopotamian and Egyptian mythologies. Special attention will be dedicated to the sources through which these representational patterns are documented and to their influence on Mediterranean civilizations and arts.,0.5,,,,"History, Philosophy and Cultural Studies",,,https://ttb.utoronto.ca/cp/CLAA05H3
CLAA06,CLA,A06,Ancient Mythology II: Greece and Rome,A study of Greek and Roman mythologies. Special attention will be dedicated to the sources through which these representational patterns are documented and to their influence on Mediterranean civilizations and arts.,0.5,,,,"History, Philosophy and Cultural Studies",,,https://ttb.utoronto.ca/cp/CLAA06H3
CLAB05,CLA,B05,History and Culture of the Greek World,"A survey of the history and culture of the Greek world from the Minoan period to the Roman conquest of Egypt (ca 1500-30 BC). Special attention will be dedicated to the nature, variety and limits of the available evidences, to socio-cultural interactions as well as to historical processes of continuities and ruptures.Same as HISB10H3",0.5,,,,"History, Philosophy and Cultural Studies",,,https://ttb.utoronto.ca/cp/CLAB05H3
CLAB06,CLA,B06,History and Culture of the Roman World,"A survey of the history and culture of the ancient Roman world, from the Etruscan period to the Justinian dynasty (ca 800 BC-600 AD). Special attention will be dedicated to the nature, variety and limits of the available evidences, to socio-cultural interactions as well as to historical processes of continuities and ruptures.Same as HISB11H3",0.5,,,,"History, Philosophy and Cultural Studies",,,https://ttb.utoronto.ca/cp/CLAB06H3
CLAB09,CLA,B09,Between Two Empires: The World of Late Antiquity,"A course to introduce students of history and classical studies to the world of late antiquity, the period that bridged classical antiquity and the Middle Ages. This course studies the period for its own merit as a time when the political structures of the Medieval period were laid down and the major religions of the Mediterranean (Judaism, Christianity, Islam, Zoroastrianism) took their recognizable forms.",0.5,,,,"History, Philosophy and Cultural Studies",,,https://ttb.utoronto.ca/cp/CLAB09H3
CLAB20,CLA,B20,The Ancient World in Film,"The representation of the classical world and historical events in film. How the Greek and Roman world is reconstructed by filmmakers, their use of spectacle, costume and furnishings, and the influence of archaeology on their portrayals. Films will be studied critically for historical accuracy and faithfulness to classical sources.Same as HISB12H3",0.5,,,,"History, Philosophy and Cultural Studies",,,https://ttb.utoronto.ca/cp/CLAB20H3
CLAC01,CLA,C01,Selected Topics in Classical Literature,"A detailed study of an author or a genre in Classical Literature in Translation.Topics will vary from session to session and will alternate between Greek and Roman Epic, Greek and Roman Tragedy and Greek and Roman Comedy.",0.5,One full credit in Classics or in English or another literature,,CLA300H,"Arts, Literature and Language",,,https://ttb.utoronto.ca/cp/CLAC01H3
CLAC02,CLA,C02,Selected Topics in Classical Civilization,"A detailed study of a theme in Classical Civilization.Topics will vary from session to session and may be drawn from such areas as the archaeological history of the Roman world, Greek and Roman religion, ancient education or Roman law.",0.5,One full credit in Classics or History,,,"History, Philosophy and Cultural Studies",,,https://ttb.utoronto.ca/cp/CLAC02H3
CLAC05,CLA,C05,Beyond Cleopatra: Decolonial Approaches to Ancient Egypt,"This course focuses on the History of ancient Egypt, with a focus on the Hellenistic to early Arab periods (4th c. BCE to 7th c. CE). Lectures will emphasize the key role played by Egypt’s diverse environments in the shaping of its socio-cultural and economic features as well as in the policies adopted by ruling authorities. Elements of continuity and change will be emphasized and a variety of primary sources and sites will be discussed. Special attention will also be dedicated to the role played by imperialism, Orientalism, and modern identity politics in the emergence and trajectory of the fields of Graeco-Roman Egyptian history, archaeology, and papyrology.Same as (IEEC52H3), HISC10H3.",0.5,"2.0 credits in CLA or HIS courses, including 1.0 credit from the following: CLAA04H3/HISA07H3or CLAB05H3/HISB10H3or CLAB06H3/HISB11H3",,"HISC10H3,(IEEC52H3)","History, Philosophy and Cultural Studies",,,https://ttb.utoronto.ca/cp/CLAC05H3
CLAC11,CLA,C11,Classical Literature I: Poetry,"An examination of the main genres, authors and works of ancient Greek and Latin poetry, with particular emphasis on epic, drama and lyrics. Attention will be dedicated to the study of how these works reflect the socio-cultural features of Classical Antiquity and influenced later literatures. Texts will be studied in translation.",0.5,One full credit in Classics or EnglishRecommended Preparation: CLAA06H3,,,"Arts, Literature and Language",,,https://ttb.utoronto.ca/cp/CLAC11H3
CLAC12,CLA,C12,Classical Literature II: Prose,"An examination of the main genres, authors and works of ancient Greek and Latin prose. History, rhetoric, biography, letters and the novel will be studied. Attention will be dedicated to the study of how these works reflect the socio-cultural features of Classical Antiquity and influenced later literatures. Texts will be studied in translation.",0.5,One full credit in Classics or EnglishRecommended Preparation: CLAA06H3and CLAC11H3,,,"Arts, Literature and Language",,,https://ttb.utoronto.ca/cp/CLAC12H3
CLAC22,CLA,C22,Religions of the Ancient Mediterranean,"A comparative study of the Mesopotamian, Egyptian, Phoenician and Punic, Celtic, Palmyrene, Persian, Greco-Roman and Judeo-Christian religious beliefs and practices. Special attention will be dedicated to how they document the societies and cultures in which they flourished.",0.5,One full credit in Classics or Religion,,"CLA366H, NMC380YRecommended Preparation: CLAA05H3and CLAA06H3","History, Philosophy and Cultural Studies",,,https://ttb.utoronto.ca/cp/CLAC22H3
CLAC24,CLA,C24,Race and Ethnicity in the Ancient Mediterranean and West Asian Worlds,A critical examination of multiculturalism and cultural identities in the Greek and Roman worlds. Special attention will be dedicated to the evidences through which these issues are documented and to their fundamental influence on the formation and evolution of ancient Mediterranean and West Asian societies and cultures.Same as HISC11H3,0.5,1.0 credit in CLA or HIS courses.,,HISC11H3Recommended Preparation: CLAB05H3and CLAB06H3,"History, Philosophy and Cultural Studies",,,https://ttb.utoronto.ca/cp/CLAC24H3
CLAC26,CLA,C26,Indigeneity and the Classics,"This course will explore the representations and realities of Indigeneity in the ancient Mediterranean world, as well as the entanglements between modern settler-colonialism, historiography, and reception of the 'Classical' past. Throughout the term, we will be drawn to (un)learn, think, write, and talk about a series of topics, each of which pertains in different ways to a set of overarching questions: What can Classicists learn from ancient and modern indigenous ways of knowing? What does it mean to be a Classicist in Tkaronto, on the land many Indigenous Peoples call Turtle Island? What does it mean to be a Classicist in Toronto, Ontario, Canada? What does it mean to be a Classicist in a settler colony? How did the Classics inform settler colonialism? How does modern settler colonialism inform our reconstruction of ancient indigeneities? How does our relationship to the land we come from and are currently on play a role in the way we think about the ancient Mediterranean world? Why is that so? How did societies of the ancient Mediterranean conceive of indigeneity? How did those relationships manifest themselves at a local, communal, and State levels?",0.5,"Any 4.0 credits, including 1.0 credit in CLA or HIS courses",,HISC16H3,"History, Philosophy and Cultural Studies",,,https://ttb.utoronto.ca/cp/CLAC26H3
CLAC67,CLA,C67,Early Islam: Perspectives on the Construction of a Historical Tradition,"This course examines the history and historiography of the formative period of Islam and the life and legacy of Muḥammad, Islam’s founder. Central themes explored include the Late Antique context of the Middle East, pre-Islamic Arabia and its religions, the Qur’ān and its textual history, the construction of biographical accounts of Muḥammad, debates about the historicity of reports from Muḥammad, and the evolving identity and historical conception of the early Muslim community.",0.5,"Any 4.0 credits, including 0.5 credit at the A- or B-level in HIS courses",,HISC67H3,"History, Philosophy and Cultural Studies",,,https://ttb.utoronto.ca/cp/CLAC67H3
CLAC68,CLA,C68,Constructing the Other:  Orientalism through Time and Place,"This course reflects on the concept of Orientalism and how it informs the fields of Classical Studies and Anthropology. Topics to be discussed include the Orientalization of the past and the origin, role, and significance of ancient representations of the ""Other"" in contemporary discourses. Same as ANTC58H3and HISC68H3",0.5,"Any 4.0 credits, including 0.5 credit at the A- or B-level in ANT, HIS or CLA courses",,"ANTC58H3, HISC68H3","History, Philosophy and Cultural Studies",,,https://ttb.utoronto.ca/cp/CLAC68H3
CLAC94,CLA,C94,The Bible and the Qur’an,"The Qur'an retells many narratives of the Hebrew Bible and the New Testament. This course compares the Qur'anic renditions with those of the earlier scriptures, focusing on the unique features of the Qur'anic versions. It will also introduce the students to the history of ancient and late antique textual production, transmission of texts and religious contact. The course will also delve into the historical context in which these texts were produced and commented upon in later generations.Same as HISC94H3",0.5,"Any 4.0 credits, including [[1.0 credit in Classical Studies or History] or [WSTC13H3]]",,HISC94H3,"History, Philosophy and Cultural Studies",,,https://ttb.utoronto.ca/cp/CLAC94H3
CLAD05,CLA,D05,Dripping Histories: Water in the Ancient Mediterranean and West Asian Worlds,This seminar type course addresses issues related to the relationships between ancient Mediterranean and West Asian societies and their hydric environments from 5000 BC to 600 AD.Same as HISD10H3,0.5,Any 11.0 credits including 2.0 credits in CLA or HIS courses.,,HISD10H3Recommended Preparation: CLAB05H3and CLAB06H3,"History, Philosophy and Cultural Studies",,,https://ttb.utoronto.ca/cp/CLAD05H3
CLAD69,CLA,D69,Sufis and Desert Fathers: Mysticism in Late Antiquity and Early Islam,"This course is an introduction to mystical/ascetic beliefs and practices in late antiquity and early Islam. Often taken as an offshoot of or alternative to “orthodox” representations of Christianity and Islam, mysticism provides a unique look into the ways in which these religions were experienced by its adherents on a more popular, often non-scholarly, “unorthodox” basis throughout centuries. In this class we will examine mysticism in late antiquity and early Islam through the literature, arts, music, and dance that it inspired.",0.5,"Any 8.0 credits, including: [0.5 credit at the A- or B-level in CLA or HIS courses] and [0.5 credit at the C-level in CLA or HIS courses]",,"HISD69H3Recommended Preparation: CLAB06H3/HISB11H3, CLAB09H3/HISB09H3","Arts, Literature and Language",,,https://ttb.utoronto.ca/cp/CLAD69H3
COPB10,COP,B10,Advancing Your Career Exploration,"This preparatory course helps students navigate the challenges ahead in the world of Co-op and business. This course is highly interactive and practical, and is completed before students start seeking their Co-op work term opportunity. Management experienced Coordinators and expert guests instruct students on how to succeed in their work terms.",0.5,Restricted to students in the Management Co-op programs.,,[COPB11H3and COPB12H3]; [COPB13H3and COPB14H3]; (COPD07Y3); (COPD08Y3)Course Experience: Partnership-Based Experience,,Partnership-Based Experience,"1. If you are enrolled in this course, you would not be required to complete: [COPB11H3and COPB12H3] or [COPB13H3and COPB14H3]. 2. UTSC internal applicants are accepted into the Management Co-op in early May.",https://ttb.utoronto.ca/cp/COPB10Y3
COPB11,COP,B11,Advancing Your Career Exploration Part I,"This preparatory course helps students navigate the challenges ahead in the world of Co-op and business. This course is highly interactive and practical, and is completed before students start seeking their Co-op work term opportunity. Management experienced Coordinators, and expert guests instruct students on how to succeed in their work terms.",0.5,Restricted to students in the Management Co-op programs.,,COPB10Y3/(COPD07Y3); (COPD08Y3)Course Experience: Partnership-Based Experience,,Partnership-Based Experience,Students in their first year Management Co-op Programs will be core-loaded into this course.,https://ttb.utoronto.ca/cp/COPB11H3
COPB12,COP,B12,Advancing Your Career Exploration Part II,"This preparatory course helps students navigate the challenges ahead in the world of Co-op and business. This course is highly interactive and practical, and is completed before students start seeking their Co-op work term opportunity. Management experienced Coordinators and expert guests continue to instruct students on how to succeed in their work terms.",0.5,Restricted to students in the Management Co-op programs.,,COPB10Y3/(COPD07Y3); (COPD08Y3)Course Experience: Partnership-Based Experience,,Partnership-Based Experience,Students in their first year Management Co-op Programs will be core-loaded into this course.,https://ttb.utoronto.ca/cp/COPB12H3
COPB13,COP,B13,Advancing Your Career Exploration Management International Business Part I,"This preparatory course helps Management International Business (MIB) students navigate the challenges ahead in the world of Co-op and business. This course is highly interactive, and practical, and is completed before students start seeking for their Co-op work term opportunity. Management experienced Coordinators and expert guests instruct students on how to succeed in their work terms.",0.5,Restricted to students in the Management International Business Co-op program.,,COPB10Y3/(COPD07Y3); (COPD08Y3)Course Experience: Partnership-Based Experience,,Partnership-Based Experience,Students in their first year Management International Business Co-op program will be core-loaded into this course.,https://ttb.utoronto.ca/cp/COPB13H3
COPB14,COP,B14,Advancing Your Career Exploration Management International Business Part II,"This preparatory course helps Management International Business (MIB) students navigate the challenges ahead in the world of Co-op and business. This course is highly interactive and practical, and is completed before students start seeking their Co-op work term opportunity. Management experienced Coordinators and expert guests continue to instruct students on how to succeed in their work terms.",0.5,Restricted to students in the Management International Business Co-op program.,,COPB10Y3/(COPD07Y3); (COPD08Y3)Course Experience: Partnership-Based Experience,,Partnership-Based Experience,Students in their first year Management International Business Co-op program will be core-loaded into this course.,https://ttb.utoronto.ca/cp/COPB14H3
COPB30,COP,B30,Passport to Placement I,"This course is designed to prepare students in the International Development Studies Co-op programs with the skills, tools and experience to have a successful placement search. This course is an opportunity for students to explore the stages and dynamics of job searching, investigate various career options based on their skill set and interests, develop a placement search plan and create placement search documents. In addition, through workshops and events, students will have an opportunity to interact with IDS placement partners, senior students, and faculty, and gain insight into trends in the field of international development.",0.5,,,,Social and Behavioural Sciences,University-Based Experience,Restricted to students enrolled in the Specialist (Co-op) Programs in International Development Studies. Students should plan to complete this course in the first year of study in their selected IDS Co-op program.,https://ttb.utoronto.ca/cp/COPB30H3
COPB31,COP,B31,Passport to Placement II,"In this course, students build upon skills and knowledge gained in COPB30H3. This course focuses on the job search and goal setting, culminating in students creating an Action Plan that focuses on developing and polishing their job search and application process skills in preparation for the Co-op application process in COPB33H3. By the end of this course, students should feel confident in their ability to network, write a job application, and communicate professionally.",0.5,COPB30H3/(COPD02H3),,(COPD04H3); COPB30H3(if taken in Fall 2020 or earlier),Social and Behavioural Sciences,University-Based Experience,Restricted to students enrolled in the Specialist (Co-op) Programs in International Development Studies. IDS Co-op students must successfully complete this course prior to COPB33H3.,https://ttb.utoronto.ca/cp/COPB31H3
COPB33,COP,B33,Passport to Placement III,"This course is designed to prepare students in the International Development Studies Co-op programs with the skills, tools and preparation to be successful during the placement year. Building on the skills developed in the first two years of the program, students will explore placement opportunities based on their skill set and interests. The course will include presentations from International Development Studies placement partners, group exercises, and individual assignments designed to prepare students for the placement experience. Pre-departure orientation activities will include intercultural learning, health and safety issues, placement research, and other key topics. A weekend retreat with returned placement students (fifth-year) provides an opportunity for sharing first-hand experience and knowledge.",0.5,COPB30H3and COPB31H3(if taken Fall 2021 or later),,COPB31H3(if taken Fall 2020 or earlier)Course Experience: University-Based Experience,,University-Based Experience,Restricted to students enrolled in the Specialist (Co-op) Programs in International Development Studies.,https://ttb.utoronto.ca/cp/COPB33H3
COPB50,COP,B50,Foundations for Success in Arts and Science Co-op,"This course provides students in their first-year of Arts and Science Co-op to develop skills and tools to manage and thrive during the job search and in the workplace throughout the semester. In addition, students begin to build their job search tool kit, examine their strengths and areas of development, discover the skills employers are seeking in undergraduate Co-op students and in employees in general, and explore possible pathways to achieving their Co-op work terms and long term academic or career goals. Students will learn and practice strategies to best present their skills, knowledge and experience in foundational job search documents. The concept of interviewing is also introduced.",0.5,Restricted to students in the Arts and Science Co-op programs.,,"COPB10Y3/(COPD07Y3), (COPB36H3); (COPD01H3)Course Experience: University-Based Experience",,University-Based Experience,Students should plan to complete this course in the first year of study in their selected Arts and Science Co-op program.,https://ttb.utoronto.ca/cp/COPB50H3
COPB53,COP,B53,Continuing your Co-op Job Search,"This course is for students in Arts & Science Co-op who have undertaken a first work term search and successfully completed COPB55H3or COPB57H3or COPB59H3, or (COPB52H3) but have not embarked on a first work term experience. Students in this course will continue with job search activities and receive additional support factoring in their overall learning.",0.5,,,,,Partnership-Based Experience,,https://ttb.utoronto.ca/cp/COPB53H3
COPB54,COP,B54,Becoming Job Search Ready:  Science Co-op,"This course builds on the foundational job search concepts introduced in COPB50H3, providing opportunities to refine application strategies and practice interviewing based on industry hiring practices for organizations hiring Science co-op students. Students experience a Co-op job search cycle by reviewing, selecting, and applying to job postings weekly and receiving feedback similar to when participating in job search. With this feedback, and the support of your Coordinator, students make adjustments to their job search approach and develop strategies for success to be used in the following terms for both job applications and interview performance. The importance of a job search network and research to tailor and prepare during your job search, as well as essential skills for success in the workplace and dynamics of workplace culture are also examined.",0.5,"COPB50H3/(COPD01H3); restricted to students in the Arts and Science Co-op programs in Science Co-op programs - Life Science, Life Science (Health Sciences stream) Physical and Environmental Sciences, Physical and Environmental Sciences (Health Sciences stream), Psychological and Health Studies, and Psychological and Health Studies (Health Sciences stream).",,,,University-Based Experience,,https://ttb.utoronto.ca/cp/COPB54H3
COPB55,COP,B55,Finding Your First Work Term and Getting Workplace Ready: Science Co-op,"This course is taken when students are searching for their first co-op work term. During this semester, Science Co-op students are applying to job postings on the Co-op Job Board, attending employer events and interviews until they secure a work term. This course provides students with topical information and insights about the labour market and Co‐op employers currently hiring, provides job search trends, job search support and coaching and in a combination of in‐class, group and one‐on‐one appointments.",0.5,,,,,Partnership-Based Experience,,https://ttb.utoronto.ca/cp/COPB55H3
